time,F_Tbar,z_Tbar
7.960000,59.535507,-9.021313
7.970000,59.497494,-9.059727
7.980000,59.588146,-9.055954
7.990000,59.629086,-9.049933
8.000000,59.551594,-9.025044
8.010000,59.534779,-9.043912
8.020000,59.631279,-9.093648
8.030000,59.632011,-9.157715
8.040000,59.612270,-9.254218
8.050000,59.569870,-9.317522
8.060000,59.573524,-9.300180
8.070000,59.616657,-9.304717
8.080000,59.609348,-9.347668
8.090000,59.591072,-9.353731
8.100000,59.558903,-9.336390
8.110000,59.586685,-9.346184
8.120000,59.679531,-9.441161
8.130000,59.713161,-9.539148
8.140000,59.601307,-9.573069
8.150000,59.585953,-9.557974
8.160000,59.667103,-9.556490
8.170000,59.692692,-9.544406
8.180000,59.670029,-9.542159
8.190000,59.656868,-9.609999
8.200000,59.708042,-9.743433
8.210000,59.743134,-9.802963
8.220000,59.680992,-9.797706
8.230000,59.641514,-9.751701
8.240000,59.667103,-9.702729
8.250000,59.697079,-9.728339
8.260000,59.643707,-9.747207
8.270000,59.586685,-9.751701
8.280000,59.557442,-9.821068
8.290000,59.556709,-9.899466
8.300000,59.606422,-9.941655
8.310000,59.615196,-9.977865
8.320000,59.594727,-9.980112
8.330000,59.566944,-9.980112
8.340000,59.560364,-9.980875
8.350000,59.598381,-9.981596
8.360000,59.654675,-10.094678
8.370000,59.596920,-10.228112
8.380000,59.600574,-10.247701
8.390000,59.654675,-10.216028
8.400000,59.634937,-10.196439
8.410000,59.546474,-10.165529
8.420000,59.487259,-10.173839
8.430000,59.512844,-10.229596
8.440000,59.538433,-10.274837
8.450000,59.539894,-10.354719
8.460000,59.553055,-10.418065
8.470000,59.575718,-10.417302
8.480000,59.586685,-10.428623
8.490000,59.504803,-10.459533
8.500000,59.474098,-10.457243
8.510000,59.477753,-10.467801
8.520000,59.484333,-10.556757
8.530000,59.511383,-10.629134
8.540000,59.544281,-10.686417
8.550000,59.578644,-10.726358
8.560000,59.629818,-10.719574
8.570000,59.634205,-10.705243
8.580000,59.602768,-10.714274
8.590000,59.592533,-10.740690
8.600000,59.584492,-10.819088
8.610000,59.588879,-10.932890
8.620000,59.565483,-10.989410
8.630000,59.632011,-10.997721
8.640000,59.663448,-10.993184
8.650000,59.593994,-10.974358
8.660000,59.561829,-10.991700
